//CoDeSys Mapping Export V1.2
//Mapped variable;//Parameter name @ counter in device;//Unit;//Description;//IEC address;//Device name;
//Important: change only first, third or fourth column in Excel or add variable name before first ;
;Регистры временного хранения;;;%IW0;SCADA
;Регистры временного хранения[0];;;%IW0;SCADA
;Bit0;;;%IX0.0;SCADA
;Bit1;;;%IX0.1;SCADA
;Bit2;;;%IX0.2;SCADA
;Bit3;;;%IX0.3;SCADA
;Bit4;;;%IX0.4;SCADA
;Bit5;;;%IX0.5;SCADA
;Bit6;;;%IX0.6;SCADA
;Bit7;;;%IX0.7;SCADA
;Bit8;;;%IX1.0;SCADA
;Bit9;;;%IX1.1;SCADA
;Bit10;;;%IX1.2;SCADA
;Bit11;;;%IX1.3;SCADA
;Bit12;;;%IX1.4;SCADA
;Bit13;;;%IX1.5;SCADA
;Bit14;;;%IX1.6;SCADA
;Bit15;;;%IX1.7;SCADA
;Регистры временного хранения[1];;;%IW1;SCADA
;Bit0@1;;;%IX2.0;SCADA
;Bit1@1;;;%IX2.1;SCADA
;Bit2@1;;;%IX2.2;SCADA
;Bit3@1;;;%IX2.3;SCADA
;Bit4@1;;;%IX2.4;SCADA
;Bit5@1;;;%IX2.5;SCADA
;Bit6@1;;;%IX2.6;SCADA
;Bit7@1;;;%IX2.7;SCADA
;Bit8@1;;;%IX3.0;SCADA
;Bit9@1;;;%IX3.1;SCADA
;Bit10@1;;;%IX3.2;SCADA
;Bit11@1;;;%IX3.3;SCADA
;Bit12@1;;;%IX3.4;SCADA
;Bit13@1;;;%IX3.5;SCADA
;Bit14@1;;;%IX3.6;SCADA
;Bit15@1;;;%IX3.7;SCADA
;Регистры временного хранения[2];;;%IW2;SCADA
;Bit0@2;;;%IX4.0;SCADA
;Bit1@2;;;%IX4.1;SCADA
;Bit2@2;;;%IX4.2;SCADA
;Bit3@2;;;%IX4.3;SCADA
;Bit4@2;;;%IX4.4;SCADA
;Bit5@2;;;%IX4.5;SCADA
;Bit6@2;;;%IX4.6;SCADA
;Bit7@2;;;%IX4.7;SCADA
;Bit8@2;;;%IX5.0;SCADA
;Bit9@2;;;%IX5.1;SCADA
;Bit10@2;;;%IX5.2;SCADA
;Bit11@2;;;%IX5.3;SCADA
;Bit12@2;;;%IX5.4;SCADA
;Bit13@2;;;%IX5.5;SCADA
;Bit14@2;;;%IX5.6;SCADA
;Bit15@2;;;%IX5.7;SCADA
;Регистры временного хранения[3];;;%IW3;SCADA
;Bit0@3;;;%IX6.0;SCADA
;Bit1@3;;;%IX6.1;SCADA
;Bit2@3;;;%IX6.2;SCADA
;Bit3@3;;;%IX6.3;SCADA
;Bit4@3;;;%IX6.4;SCADA
;Bit5@3;;;%IX6.5;SCADA
;Bit6@3;;;%IX6.6;SCADA
;Bit7@3;;;%IX6.7;SCADA
;Bit8@3;;;%IX7.0;SCADA
;Bit9@3;;;%IX7.1;SCADA
;Bit10@3;;;%IX7.2;SCADA
;Bit11@3;;;%IX7.3;SCADA
;Bit12@3;;;%IX7.4;SCADA
;Bit13@3;;;%IX7.5;SCADA
;Bit14@3;;;%IX7.6;SCADA
;Bit15@3;;;%IX7.7;SCADA
;Регистры временного хранения[4];;;%IW4;SCADA
;Bit0@4;;;%IX8.0;SCADA
;Bit1@4;;;%IX8.1;SCADA
;Bit2@4;;;%IX8.2;SCADA
;Bit3@4;;;%IX8.3;SCADA
;Bit4@4;;;%IX8.4;SCADA
;Bit5@4;;;%IX8.5;SCADA
;Bit6@4;;;%IX8.6;SCADA
